Normal Algorithm, Size, SortedPercent, Normal Runtime, RB Runtime, BST Runtime
MergeSort, 8301, 75.0, 5.164782, 3.239739, 296.723979
MergeSort, 8401, 75.0, 6.89319, 3.429432, 296.432492
MergeSort, 8501, 75.0, 4.782986, 3.450831, 246.694002
MergeSort, 8601, 75.0, 4.353253, 2.666207, 202.353461
MergeSort, 8701, 75.0, 4.643335, 2.600776, 263.608763
MergeSort, 8801, 75.0, 4.642502, 2.989754, 194.454201
MergeSort, 8901, 75.0, 4.96876, 2.938018, 302.378271
MergeSort, 9001, 75.0, 5.46491, 11.141983, 291.903939
MergeSort, 9101, 75.0, 5.271271, 3.275463, 238.843854
MergeSort, 9201, 75.0, 5.125765, 3.072359, 317.798472
MergeSort, 9301, 75.0, 5.211812, 2.778924, 256.061572
MergeSort, 9401, 75.0, 5.101, 3.387552, 307.179607
MergeSort, 9501, 75.0, 5.385428, 3.237392, 377.424101
MergeSort, 9601, 75.0, 5.402584, 3.386497, 281.275053
MergeSort, 9701, 75.0, 5.521756, 3.281881, 347.014748
MergeSort, 9801, 75.0, 5.431944, 3.559218, 310.396422
MergeSort, 9901, 75.0, 6.377057, 3.613715, 305.114835
